,segment_id,start_time_seconds,end_time_seconds,label
24,O35jXasNYxc,0.0,0.381,/m/0dgw9r
25,O35jXasNYxc,0.0,10.0,/m/093_4n
26,O35jXasNYxc,0.733,1.578,/m/01b_21
27,O35jXasNYxc,1.683,2.094,/m/01b_21
28,O35jXasNYxc,2.191,2.565,/m/01b_21
29,O35jXasNYxc,2.708,3.134,/m/01b_21
30,O35jXasNYxc,3.762,4.024,/m/01b_21
31,O35jXasNYxc,4.084,4.8919999999999995,/m/0dgw9r
32,O35jXasNYxc,5.37,6.2,/m/01b_21
33,O35jXasNYxc,6.313,6.859,/m/01b_21
34,O35jXasNYxc,7.0760000000000005,7.322,/m/01b_21
35,O35jXasNYxc,7.307,7.921,/m/0dgw9r
36,O35jXasNYxc,8.205,9.596,/m/01b_21
37,O35jXasNYxc,9.663,10.0,/m/0dgw9r
291,NlmTOFjtPpQ,0.0,0.485,/t/dd00109
292,NlmTOFjtPpQ,0.0,10.0,/m/0dv3j
293,NlmTOFjtPpQ,0.72,0.818,/m/07qjznt
294,NlmTOFjtPpQ,1.061,1.265,/m/0lyf6
295,NlmTOFjtPpQ,1.354,4.319,/m/02zsn
296,NlmTOFjtPpQ,1.46,1.581,/m/07qjznt
297,NlmTOFjtPpQ,3.247,3.5069999999999997,/t/dd00099
298,NlmTOFjtPpQ,4.896,6.066,/m/0838f
299,NlmTOFjtPpQ,6.147,6.301,/m/04brg2
300,NlmTOFjtPpQ,6.4879999999999995,6.813,/m/04brg2
301,NlmTOFjtPpQ,7.731,7.934,/t/dd00099
302,NlmTOFjtPpQ,8.616,8.714,/t/dd00099
303,NlmTOFjtPpQ,8.868,9.201,/t/dd00099
304,NlmTOFjtPpQ,9.624,9.875,/t/dd00099
789,r2RQXZoAs_Q,0.0,0.054000000000000006,/t/dd00099
790,r2RQXZoAs_Q,0.0,10.0,/m/03m9d0z
791,r2RQXZoAs_Q,0.10300000000000001,1.4509999999999998,/m/05zppz
792,r2RQXZoAs_Q,1.614,2.02,/m/0lyf6
793,r2RQXZoAs_Q,1.663,1.7930000000000001,/t/dd00099
794,r2RQXZoAs_Q,2.109,4.961,/m/05zppz
795,r2RQXZoAs_Q,5.724,6.407,/t/dd00099
796,r2RQXZoAs_Q,6.131,10.0,/m/02y_763
797,r2RQXZoAs_Q,6.975,7.1129999999999995,/t/dd00099
798,r2RQXZoAs_Q,9.648,9.77,/t/dd00099
1001,28oK-ruIvVw,0.0,0.282,/m/09l8g
1002,28oK-ruIvVw,0.0,10.0,/m/093_4n
1003,28oK-ruIvVw,0.265,0.47700000000000004,/t/dd00099
1004,28oK-ruIvVw,0.55,1.2,/t/dd00077
1005,28oK-ruIvVw,1.037,1.1909999999999998,/m/09l8g
1006,28oK-ruIvVw,1.4040000000000001,1.598,/t/dd00099
1007,28oK-ruIvVw,1.6540000000000001,3.0189999999999997,/t/dd00077
1008,28oK-ruIvVw,2.491,4.311,/m/01j3sz
1009,28oK-ruIvVw,3.937,5.4639999999999995,/m/05zppz
1010,28oK-ruIvVw,4.067,4.254,/t/dd00099
1011,28oK-ruIvVw,4.425,4.652,/m/0lyf6
1012,28oK-ruIvVw,4.8469999999999995,4.968999999999999,/m/09l8g
1013,28oK-ruIvVw,5.0089999999999995,5.4239999999999995,/t/dd00099
1014,28oK-ruIvVw,5.562,5.692,/m/07qjznt
1015,28oK-ruIvVw,5.9110000000000005,6.699,/t/dd00099
1016,28oK-ruIvVw,6.001,6.212000000000001,/m/09l8g
1017,28oK-ruIvVw,6.715,9.055,/t/dd00077
1018,28oK-ruIvVw,7.317,8.21,/m/03qc9zr
1019,28oK-ruIvVw,8.218,9.477,/m/01j3sz
1020,28oK-ruIvVw,9.429,9.802,/m/0lyf6
1021,28oK-ruIvVw,9.689,9.851,/t/dd00099
1427,6p4YV8ISD1k,0.0,0.39399999999999996,/m/05zppz
1428,6p4YV8ISD1k,0.0,6.8660000000000005,/m/04rlf
1429,6p4YV8ISD1k,0.0,10.0,/m/01h8n0
1430,6p4YV8ISD1k,0.0,10.0,/t/dd00077
1431,6p4YV8ISD1k,3.575,3.9610000000000003,/m/09l8g
1432,6p4YV8ISD1k,4.1419999999999995,4.803,/m/05zppz
1433,6p4YV8ISD1k,5.331,6.212999999999999,/m/05zppz
1434,6p4YV8ISD1k,6.85,8.047,/m/07q0yl5
1435,6p4YV8ISD1k,8.055,8.307,/m/09l8g
1436,6p4YV8ISD1k,8.339,10.0,/m/05zppz
1437,6p4YV8ISD1k,9.622,10.0,/m/07rgt08
1533,1SlgQmZlEZA,0.0,0.168,/m/05zppz
1534,1SlgQmZlEZA,0.0,10.0,/m/04rlf
1535,1SlgQmZlEZA,0.46399999999999997,0.773,/m/05zppz
1536,1SlgQmZlEZA,0.773,1.158,/t/dd00099
1537,1SlgQmZlEZA,1.138,1.557,/m/05zppz
1538,1SlgQmZlEZA,1.598,2.54,/t/dd00099
1539,1SlgQmZlEZA,1.784,5.062,/m/05zppz
1540,1SlgQmZlEZA,5.117,5.7010000000000005,/m/0c1dj
1541,1SlgQmZlEZA,5.3229999999999995,7.178999999999999,/m/05zppz
1542,1SlgQmZlEZA,6.292000000000001,7.178999999999999,/m/0c1dj
1543,1SlgQmZlEZA,7.4670000000000005,8.312999999999999,/m/05zppz
1544,1SlgQmZlEZA,8.031,8.395,/m/0c1dj
1545,1SlgQmZlEZA,8.519,9.433,/m/05zppz
1992,dSbkC3oKDDc,0.0,10.0,/m/07r04
1993,dSbkC3oKDDc,2.269,9.652999999999999,/t/dd00077
1994,dSbkC3oKDDc,7.858,8.016,/t/dd00099
2517,Z4ZPceGRAPc,0.038,10.0,/m/03m9d0z
2518,Z4ZPceGRAPc,0.075,0.489,/m/0lyf6
2519,Z4ZPceGRAPc,0.564,1.369,/m/07s2xch
2520,Z4ZPceGRAPc,1.595,1.67,/m/03cczk
2521,Z4ZPceGRAPc,2.032,2.084,/m/03cczk
2522,Z4ZPceGRAPc,2.6489999999999996,2.739,/m/03cczk
2523,Z4ZPceGRAPc,4.1080000000000005,4.184,/m/07qjznt
2524,Z4ZPceGRAPc,4.635,4.74,/m/07qjznt
2525,Z4ZPceGRAPc,4.7330000000000005,5.425,/m/0lyf6
2526,Z4ZPceGRAPc,5.696000000000001,5.763999999999999,/m/07qjznt
2527,Z4ZPceGRAPc,6.396,6.4639999999999995,/m/07qjznt
2528,Z4ZPceGRAPc,6.599,6.652,/m/07qjznt
2529,Z4ZPceGRAPc,7.065,7.148,/m/07qjznt
2530,Z4ZPceGRAPc,7.388999999999999,7.487,/m/07qjznt
2531,Z4ZPceGRAPc,7.818,10.0,/m/01swy6
3307,68qaX3ZoZek,0.0,10.0,/t/dd00077
3308,68qaX3ZoZek,0.06,0.426,/m/02zsn
3309,68qaX3ZoZek,0.636,1.099,/m/01rd7k
3310,68qaX3ZoZek,1.9069999999999998,2.012,/t/dd00099
3311,68qaX3ZoZek,2.4459999999999997,2.513,/t/dd00099
3312,68qaX3ZoZek,2.85,3.283,/t/dd00099
3313,68qaX3ZoZek,3.426,4.637,/m/02zsn
3314,68qaX3ZoZek,4.763999999999999,5.662000000000001,/m/02zsn
3315,68qaX3ZoZek,5.767,7.362,/m/02zsn
3316,68qaX3ZoZek,7.696000000000001,7.846,/m/02zsn
3317,68qaX3ZoZek,7.9879999999999995,8.639,/m/02zsn
3318,68qaX3ZoZek,8.721,10.0,/m/02zsn
3742,70oARHTT63c,8.202,10.0,/m/01w250
3743,70oARHTT63c,0.0,1.4569999999999999,/m/02zsn
3744,70oARHTT63c,4.252,5.126,/m/05zppz
3745,70oARHTT63c,9.362,10.0,/m/07svc2k
3746,70oARHTT63c,8.26,9.134,/m/09x0r
3747,70oARHTT63c,7.377999999999999,8.102,/m/0jbk
4482,j4EjXoLGSxE,0.0,10.0,/m/02l6bg
4483,j4EjXoLGSxE,0.0,10.0,/m/03m9d0z
5569,51d04WvPScg,0.0,0.867,/t/dd00005
5570,51d04WvPScg,0.0,10.0,/m/04rlf
5571,51d04WvPScg,0.8420000000000001,1.208,/m/0lyf6
5572,51d04WvPScg,1.2890000000000001,3.385,/t/dd00005
5573,51d04WvPScg,3.596,5.122999999999999,/t/dd00005
5574,51d04WvPScg,5.204,5.481,/m/0lyf6
5575,51d04WvPScg,5.529,7.5120000000000005,/t/dd00005
5576,51d04WvPScg,7.641,7.901,/m/0lyf6
5577,51d04WvPScg,7.934,10.0,/t/dd00005
5665,vKNGqQ3GRB8,0.0,10.0,/m/04rlf
5666,vKNGqQ3GRB8,0.0,10.0,/m/07m2kt
5733,0l70KR79oOI,0.0,10.0,/m/03m9d0z
5734,0l70KR79oOI,0.0,10.0,/t/dd00077
